CustomerID	Cluster
5524	1
2174	0
4141	2
6182	3
5324	0
7446	0
965	0
6177	3
4855	3
5899	3
1994	0
387	3
2125	1
8180	0
2569	3
2114	1
9736	3
4939	3
6565	2
2278	3
9360	3
5376	3
1993	0
4047	0
1409	3
7892	3
2404	0
5255	0
9422	3
1966	2
6864	3
3033	3
5710	3
7373	0
8755	2
10738	0
4339	2
10755	3
8595	0
2968	2
8601	2
503	3
8430	3
7281	2
2139	3
1371	1
9909	3
7286	0
7244	0
6566	2
8614	2
4114	2
1331	3
2225	1
9381	0
6260	2
10383	1
7437	3
8557	0
8375	0
6853	1
3076	0
1012	2
6518	2
4137	2
8082	3
1386	3
9369	2
4477	2
1357	2
1402	2
10629	0
6312	0
8132	0
1050	3
5846	0
1859	2
7503	1
10401	3
1618	0
3332	3
2261	3
5346	3
4119	3
535	1
5268	3
273	3
4452	0
8504	2
771	0
8996	0
9235	0
5798	0
11178	0
2230	3
7516	3
7247	0
11100	0
4646	2
3037	0
1473	0
1016	3
4518	2
9370	2
8908	2
8373	3
7533	0
2683	0
3629	3
10991	2
5077	2
7431	1
3267	0
999	1
9215	0
2286	0
1592	2
367	3
5234	3
9862	3
9805	0
6205	3
8442	3
7386	3
7215	1
1491	2
11071	1
3381	0
8268	0
11051	2
8026	0
433	0
9597	2
1295	0
5290	3
1685	2
5342	3
9579	3
7660	3
1461	3
821	1
11084	0
8690	2
2937	2
9701	0
9949	0
10837	3
3120	3
5885	3
4050	0
3830	0
7987	0
7798	0
92	3
7055	0
10240	2
3025	0
9283	0
9970	0
2730	1
2795	3
9260	2
8182	3
10095	1
8475	2
4370	0
10573	1
3712	2
6637	1
3152	3
5610	3
6460	3
1349	0
1880	0
641	0
8717	2
10314	2
10854	3
10492	3
6935	2
7698	0
3559	3
10562	2
10796	3
2563	3
3518	3
5823	3
3934	0
6982	2
6431	0
9733	3
5602	2
7829	3
1324	3
326	0
7224	3
6999	2
9938	2
6422	2
3182	0
7300	2
10424	1
8727	2
2798	2
1030	3
624	3
5176	3
5552	0
868	0
380	2
2677	0
6521	2
6927	0
2877	0
0	2
1584	0
7264	0
6274	2
1377	0
454	2
1755	0
2075	2
4785	2
9076	3
7079	2
4653	0
7375	0
709	0
460	2
3726	3
6798	3
5341	2
1606	3
9617	3
3233	0
89	3
2936	3
9449	2
7297	3
11004	0
313	1
9940	0
10735	3
9529	2
6439	0
7411	3
2176	2
9265	2
8867	2
8932	0
10236	3
6340	3
10089	1
2227	3
10992	2
5304	3
309	0
3406	0
2661	3
3153	3
10264	3
1184	2
4200	0
9396	3
2387	0
6690	3
1225	2
9703	3
291	2
4557	3
2379	1
5726	3
3066	0
6336	3
10967	3
2304	0
3445	1
7828	2
3762	1
4391	2
4669	3
10144	0
8652	3
1672	0
8962	0
9974	3
10983	2
8148	0
10102	1
4697	0
9262	3
7254	3
4543	2
4927	3
10451	3
2926	0
2874	3
9738	0
7119	1
3924	0
5827	3
5596	0
10812	0
1717	0
9491	3
9274	2
6609	3
6963	1
4440	0
1379	0
10032	3
2826	3
2437	0
6320	1
3050	0
231	3
2392	3
9478	2
113	3
2863	0
1802	0
520	3
8275	0
9750	2
2607	0
7214	2
5835	3
3896	3
10350	0
7786	3
2861	3
663	0
10675	0
2521	3
9592	3
10151	0
7381	1
4099	3
9560	2
1150	2
10172	1
11191	0
9707	0
6245	0
8234	3
1411	1
8553	0
1826	1
8842	3
11030	3
2579	2
175	2
9185	1
11056	2
9365	0
6201	3
2061	0
6184	2
6142	2
4107	0
7274	2
9336	2
2958	3
933	3
5837	0
10704	0
5125	2
4432	3
5955	2
2928	0
5680	3
10313	0
2557	3
1245	2
1519	3
10703	0
1726	3
4459	3
1729	0
1517	3
2098	3
9543	3
6878	3
3310	3
2724	3
948	3
6720	0
6202	0
2066	3
9799	2
8318	2
5642	0
2669	1
455	0
7683	2
3428	2
7414	0
6354	3
798	3
8213	3
2488	3
9999	2
7617	0
615	3
2552	0
194	0
3645	3
8890	0
5049	3
9973	0
7301	3
10882	0
7030	0
7422	0
3523	2
7106	2
6504	3
5067	2
4216	1
8581	0
5929	3
3129	3
6528	3
1361	2
6932	2
7284	0
1340	2
8746	2
5987	3
3767	0
3725	1
4324	0
238	0
6694	2
498	3
9347	0
9699	2
10664	0
5455	3
456	3
5012	3
7495	0
5029	3
10642	3
2106	3
10364	3
5954	0
1137	1
2541	3
1142	0
2276	0
2807	0
6471	3
6131	2
6233	0
4148	3
4947	1
3225	0
7540	0
10648	2
1992	0
7851	1
8594	0
7059	2
2815	3
2416	1
7999	2
9213	3
9697	0
3916	0
2021	0
1581	3
564	0
6619	3
9081	3
178	0
916	0
5512	0
8970	0
10581	0
5300	3
5154	3
8346	3
1676	0
9286	2
2426	1
5172	0
5562	0
3436	3
3921	3
3403	2
22	0
10965	2
9426	0
6605	2
3136	0
8737	0
11088	2
716	2
466	2
9135	3
10623	0
8151	3
5140	0
10160	0
4945	2
10584	0
6071	1
3386	3
8939	2
9925	3
4320	0
5389	0
6036	2
182	0
203	1
11025	3
10203	3
4607	2
3711	2
3696	3
2532	1
9214	0
4943	2
35	3
2258	3
4322	2
713	0
4702	1
3281	0
702	0
2004	2
4769	0
4437	0
8724	3
10741	0
1991	0
6931	1
11096	0
304	3
3665	3
10591	0
5036	0
5547	2
7822	0
8541	3
10955	1
4368	0
9671	3
2256	3
4279	3
5371	3
9240	0
9460	3
9504	2
8692	0
448	0
8314	2
8420	3
3174	2
7685	3
3179	1
9780	2
10681	0
10232	0
4184	0
9120	2
891	3
10381	0
3525	3
6818	0
3526	3
8181	3
1029	0
7369	3
2574	0
8159	0
1160	3
10242	0
5253	0
5966	0
5314	3
5081	0
5123	3
5756	3
8036	3
9058	1
5057	0
254	0
4179	3
3710	0
7627	2
4501	1
6424	3
3075	0
4992	3
5252	3
7444	0
6919	3
3537	3
10277	3
2453	0
7972	1
895	0
1177	0
7141	3
7232	0
8477	3
2457	3
988	2
7930	3
4587	0
6682	3
6222	3
10299	0
3083	0
8953	3
1503	2
8650	0
10862	3
2782	0
6941	3
10972	1
10708	3
6583	2
3641	3
10156	2
4299	2
3469	3
5063	3
10727	2
9624	2
5156	0
4376	3
8923	1
8461	0
6945	1
944	0
1907	2
701	2
3856	0
4149	2
2131	2
2942	0
1173	2
4381	0
4611	2
3376	0
4679	2
10928	2
4248	1
6728	3
6661	2
4725	0
3277	0
5555	1
2564	0
946	3
